Project,Method,Metric,CV_Value,Experiment
Maven,CNN,Precision_CV,0.0856204868055821,MTO
Poi,CNN,Precision_CV,0.0791984224911772,MTO
SpringFramework,CNN,Precision_CV,0.0701055295740587,MTO
Storm,CNN,Precision_CV,0.0889372262694632,MTO
Tomcat,CNN,Precision_CV,0.0628211451026318,MTO
Zookeeper,CNN,Precision_CV,0.1161945223540083,MTO
Ant,NLP,MCC_CV,0.0805120530720617,OTO
ArgoUML,NLP,MCC_CV,0.0250493850881147,OTO
Columba,NLP,MCC_CV,0.066805723776745,OTO
EMF,NLP,MCC_CV,0.0949750446287261,OTO
Hibernate,NLP,MCC_CV,0.0382566458379201,OTO
JEdit,NLP,MCC_CV,0.0631863278619314,OTO
JFreeChart,NLP,MCC_CV,0.0609107412785574,OTO
JMeter,NLP,MCC_CV,0.0699563345659048,OTO
JRuby,NLP,MCC_CV,0.0277504186912096,OTO
SQuirrel,NLP,MCC_CV,0.0732165185286835,OTO
Dubbo,NLP,MCC_CV,0.0463778590428983,OTO
Gradle,NLP,MCC_CV,0.0558185490461869,OTO
Groovy,NLP,MCC_CV,0.0745052132910707,OTO
Hive,NLP,MCC_CV,0.106091050540956,OTO
Maven,NLP,MCC_CV,0.0347310073558275,OTO
Poi,NLP,MCC_CV,0.0726631207096145,OTO
SpringFramework,NLP,MCC_CV,0.1455720188451686,OTO
Storm,NLP,MCC_CV,0.1295597215295086,OTO
Tomcat,NLP,MCC_CV,0.0989169969907144,OTO
Zookeeper,NLP,MCC_CV,0.1198968628203212,OTO
Ant,TM,MCC_CV,0.0918985822433014,OTO
ArgoUML,TM,MCC_CV,0.0431779342136189,OTO
Columba,TM,MCC_CV,0.1074445515747156,OTO
EMF,TM,MCC_CV,0.0776075514447786,OTO
Hibernate,TM,MCC_CV,0.0616910993679747,OTO
JEdit,TM,MCC_CV,0.0827192749553845,OTO
JFreeChart,TM,MCC_CV,0.0760802659592691,OTO
JMeter,TM,MCC_CV,0.0905254266411784,OTO
JRuby,TM,MCC_CV,0.0689403006316309,OTO
SQuirrel,TM,MCC_CV,0.0692521742024517,OTO
Dubbo,TM,MCC_CV,0.0788177159102373,OTO
Gradle,TM,MCC_CV,0.0609513584984883,OTO
Groovy,TM,MCC_CV,0.0896723048660492,OTO
Hive,TM,MCC_CV,0.0909127516451866,OTO
Maven,TM,MCC_CV,0.0384571800243938,OTO
Poi,TM,MCC_CV,0.0938009041363258,OTO
SpringFramework,TM,MCC_CV,0.1065946474989689,OTO
Storm,TM,MCC_CV,0.0890648826149773,OTO
Tomcat,TM,MCC_CV,0.106674459346332,OTO
Zookeeper,TM,MCC_CV,0.0830115952290863,OTO
Ant,CNN,MCC_CV,0.1086056563013039,OTO
ArgoUML,CNN,MCC_CV,0.0253921692542298,OTO
Columba,CNN,MCC_CV,0.0226385022795718,OTO
EMF,CNN,MCC_CV,0.0316107055802884,OTO
Hibernate,CNN,MCC_CV,0.0201224220409103,OTO
JEdit,CNN,MCC_CV,0.0677315231593536,OTO
JFreeChart,CNN,MCC_CV,0.037157718065676,OTO
JMeter,CNN,MCC_CV,0.0245608054359133,OTO
JRuby,CNN,MCC_CV,0.0264808627087693,OTO
SQuirrel,CNN,MCC_CV,0.0306072536951438,OTO
Dubbo,CNN,MCC_CV,0.0720989781107774,OTO
Gradle,CNN,MCC_CV,0.0551277338159449,OTO
